Date,Direction,TSX Price (CAD),NYSE Implied (CAD),Spread %,Shares,Gross Edge (CAD),Fees (CAD),Net Profit (CAD),Capital After
2025-04-01,Buy TSX / Sell NYSE,139.72,140.5108,0.566,71,56.15,32.99,23.15,10023.15
2025-04-03,Buy TSX / Sell NYSE,115.88,116.9876,0.9558,86,95.25,33.02,62.23,10085.39
2025-04-04,Buy NYSE / Sell TSX,109.42,108.2688,1.0633,93,107.06,33.02,74.04,10159.43
2025-04-09,Buy TSX / Sell NYSE,129.09,130.2724,0.916,78,92.23,33.05,59.18,10218.61
2025-04-10,Buy TSX / Sell NYSE,118.26,119.3393,0.9126,86,92.82,33.08,59.74,10278.35
2025-04-11,Buy TSX / Sell NYSE,116.39,116.7838,0.3384,88,34.66,33.08,1.57,10279.92
2025-04-15,Buy NYSE / Sell TSX,117.37,116.6349,0.6303,88,64.69,33.08,31.61,10311.53
2025-04-16,Buy TSX / Sell NYSE,116.58,117.183,0.5172,88,53.06,33.09,19.97,10331.5
2025-04-28,Buy TSX / Sell NYSE,136.18,136.7245,0.3998,75,40.84,33.08,7.76,10339.26
2025-05-01,Buy NYSE / Sell TSX,134.33,133.7729,0.4164,77,42.9,33.09,9.81,10349.06
2025-05-06,Buy TSX / Sell NYSE,129.24,129.6909,0.3489,80,36.07,33.11,2.96,10352.02
2025-05-07,Buy NYSE / Sell TSX,131.29,130.1208,0.8985,79,92.36,33.08,59.28,10411.3
2025-05-08,Buy NYSE / Sell TSX,130.88,130.0415,0.6448,80,67.08,33.12,33.96,10445.26
2025-05-12,Buy NYSE / Sell TSX,146.0,145.283,0.4935,71,50.91,33.09,17.81,10463.07
2025-05-14,Buy NYSE / Sell TSX,155.83,155.2721,0.3593,67,37.38,33.12,4.26,10467.33
2025-05-20,Buy TSX / Sell NYSE,148.03,148.5433,0.3467,70,35.93,33.12,2.81,10470.14
2025-05-21,Buy TSX / Sell NYSE,141.82,142.32,0.3525,73,36.5,33.12,3.38,10473.52
2025-05-23,Buy TSX / Sell NYSE,139.51,140.6726,0.8333,75,87.19,33.17,54.03,10527.55
2025-05-27,Buy NYSE / Sell TSX,147.51,146.6159,0.6098,71,63.48,33.12,30.36,10557.9
2025-05-29,Buy TSX / Sell NYSE,148.61,149.1763,0.3811,71,40.21,33.18,7.03,10564.94
2025-05-30,Buy TSX / Sell NYSE,146.64,148.0247,0.9443,72,99.7,33.2,66.5,10631.44
2025-06-12,Buy TSX / Sell NYSE,148.56,149.2431,0.4598,71,48.5,33.18,15.32,10646.76
2025-06-17,Buy NYSE / Sell TSX,145.38,144.6091,0.5331,73,56.27,33.17,23.11,10669.87
2025-06-20,Buy NYSE / Sell TSX,146.23,145.7201,0.3499,73,37.22,33.19,4.03,10673.9
2025-06-26,Buy TSX / Sell NYSE,154.21,155.0416,0.5392,69,57.38,33.21,24.17,10698.07
2025-06-27,Buy NYSE / Sell TSX,155.73,155.0538,0.4361,68,45.98,33.16,12.82,10710.88
2025-06-30,Buy TSX / Sell NYSE,157.06,157.8149,0.4807,68,51.34,33.22,18.12,10729.0
2025-07-02,Buy TSX / Sell NYSE,155.96,156.5956,0.4075,68,43.22,33.19,10.03,10739.03
2025-07-03,Buy NYSE / Sell TSX,159.29,158.3169,0.6147,67,65.2,33.18,32.02,10771.04
2025-07-07,Buy NYSE / Sell TSX,159.33,158.6961,0.3994,67,42.47,33.19,9.28,10780.32
2025-07-17,Buy NYSE / Sell TSX,174.21,173.5119,0.4024,62,43.28,33.23,10.06,10790.38
2025-07-22,Buy TSX / Sell NYSE,168.45,169.1833,0.4353,64,46.93,33.25,13.68,10804.07
2025-07-25,Buy NYSE / Sell TSX,170.62,169.73,0.5244,63,56.07,33.21,22.86,10826.93
2025-07-30,Buy NYSE / Sell TSX,170.34,169.4327,0.5355,63,57.16,33.2,23.95,10850.88
2025-08-01,Buy TSX / Sell NYSE,163.63,164.344,0.4364,66,47.12,33.25,13.87,10864.75
2025-08-14,Buy NYSE / Sell TSX,199.46,198.4016,0.5335,54,57.16,33.21,23.94,10888.7
2025-08-19,Buy NYSE / Sell TSX,193.06,192.1942,0.4505,56,48.48,33.23,15.25,10903.95
2025-08-22,Buy TSX / Sell NYSE,196.52,197.5386,0.5183,55,56.02,33.26,22.76,10926.71
2025-09-09,Buy NYSE / Sell TSX,198.83,197.8755,0.4824,55,52.5,33.26,19.23,10945.94
2025-09-15,Buy TSX / Sell NYSE,203.67,204.665,0.4885,53,52.73,33.25,19.48,10965.42
2025-09-22,Buy NYSE / Sell TSX,217.27,216.5428,0.3358,50,36.36,33.25,3.11,10968.54
2025-09-24,Buy NYSE / Sell TSX,206.84,205.9673,0.4237,53,46.25,33.27,12.98,10981.51
2025-09-25,Buy NYSE / Sell TSX,199.96,199.3381,0.312,55,34.2,33.29,0.91,10982.43
2025-10-09,Buy NYSE / Sell TSX,229.88,228.674,0.5274,48,57.89,33.29,24.59,11007.02
2025-10-28,Buy TSX / Sell NYSE,249.39,250.3901,0.401,44,44.0,33.31,10.7,11017.72
2025-10-30,Buy NYSE / Sell TSX,242.95,242.0349,0.3781,45,41.18,33.27,7.91,11025.63
2025-10-31,Buy NYSE / Sell TSX,243.86,243.0754,0.3228,45,35.31,33.28,2.02,11027.66
2025-11-04,Buy NYSE / Sell TSX,227.23,226.2076,0.452,48,49.07,33.26,15.82,11043.48
2025-11-05,Buy NYSE / Sell TSX,230.63,229.7318,0.391,48,43.11,33.31,9.8,11053.28
2025-11-07,Buy TSX / Sell NYSE,214.22,215.078,0.4005,51,43.76,33.29,10.46,11063.74
2025-11-13,Buy NYSE / Sell TSX,205.88,205.0121,0.4233,53,46.0,33.26,12.74,11076.48
2025-11-17,Buy NYSE / Sell TSX,196.89,196.1566,0.3739,56,41.07,33.3,7.77,11084.26
2025-11-18,Buy TSX / Sell NYSE,196.32,197.3393,0.5192,56,57.08,33.32,23.76,11108.02
2025-11-19,Buy NYSE / Sell TSX,205.36,204.1824,0.5767,54,63.59,33.31,30.28,11138.3
2025-11-20,Buy NYSE / Sell TSX,203.92,202.9984,0.454,54,49.77,33.29,16.48,11154.78
2025-11-26,Buy TSX / Sell NYSE,223.87,224.7045,0.3727,49,40.89,33.3,7.59,11162.36
2025-11-28,Buy NYSE / Sell TSX,223.22,222.5085,0.3198,50,35.58,33.34,2.24,11164.6
2025-12-05,Buy TSX / Sell NYSE,222.78,224.8629,0.9349,50,104.14,33.37,70.77,11235.37
2025-12-10,Buy TSX / Sell NYSE,232.49,233.1859,0.2993,48,33.4,33.36,0.04,11235.42
2025-12-23,Buy TSX / Sell NYSE,232.12,233.0817,0.4143,48,46.16,33.36,12.81,11248.22
2026-01-06,Buy NYSE / Sell TSX,233.0,231.9978,0.432,48,48.11,33.34,14.77,11262.99
2026-01-07,Buy NYSE / Sell TSX,231.12,230.3596,0.3301,48,36.5,33.32,3.18,11266.17
2026-01-09,Buy NYSE / Sell TSX,229.03,228.0367,0.4356,49,48.67,33.35,15.32,11281.49
2026-01-22,Buy TSX / Sell NYSE,189.69,190.5378,0.4469,59,50.02,33.37,16.65,11298.14
2026-01-23,Buy TSX / Sell NYSE,189.04,190.0689,0.5443,59,60.71,33.36,27.34,11325.48
2026-01-27,Buy TSX / Sell NYSE,186.82,188.54,0.9207,60,103.2,33.39,69.81,11395.29
2026-01-29,Buy TSX / Sell NYSE,193.53,194.4584,0.4797,58,53.85,33.38,20.46,11415.75
2026-01-30,Buy NYSE / Sell TSX,178.67,177.0555,0.9119,64,103.33,33.4,69.93,11485.68
2026-02-04,Buy NYSE / Sell TSX,156.72,155.5164,0.7739,73,87.86,33.41,54.45,11540.13
2026-02-06,Buy TSX / Sell NYSE,153.06,153.6452,0.3823,75,43.89,33.46,10.43,11550.57
2026-02-09,Buy TSX / Sell NYSE,160.64,161.7214,0.6732,71,76.78,33.44,43.33,11593.9
2026-02-11,Buy TSX / Sell NYSE,160.41,160.8758,0.2904,72,33.54,33.47,0.06,11593.96
2026-02-13,Buy NYSE / Sell TSX,153.88,153.3926,0.3178,75,36.56,33.45,3.1,11597.07
2026-02-18,Buy NYSE / Sell TSX,166.57,165.889,0.4105,69,46.99,33.43,13.56,11610.62
2026-02-23,Buy NYSE / Sell TSX,160.67,160.0696,0.3751,72,43.23,33.46,9.77,11620.39
2026-03-04,Buy TSX / Sell NYSE,176.75,177.2847,0.3025,65,34.75,33.46,1.3,11621.69
2026-03-06,Buy TSX / Sell NYSE,176.78,177.9821,0.68,65,78.14,33.47,44.67,11666.36
2026-03-13,Buy NYSE / Sell TSX,168.83,167.6265,0.718,69,83.04,33.47,49.57,11715.93
